cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_connection	rust_const	notes
1120	SMSG_BARBER_SHOP_RESULT	0x26BE	STATUS_NEVER	CONNECTION_TYPE_REALM	BarberShopResult	implemented in wow-packet::packets::character::BarberShopResult for #NEXT.R8.ENTITIES.907
1121	SMSG_BATCH_PRESENCE_SUBSCRIPTION	0x2846	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BatchPresenceSubscription	-
1122	SMSG_BATTLEFIELD_LIST	0x2927	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlefieldList	-
1123	SMSG_BATTLEFIELD_PORT_DENIED	0x292D	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlefieldPortDenied	-
1124	SMSG_BATTLEFIELD_STATUS_ACTIVE	0x2923	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlefieldStatusActive	-
1125	SMSG_BATTLEFIELD_STATUS_FAILED	0x2926	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlefieldStatusFailed	-
1126	SMSG_BATTLEFIELD_STATUS_GROUP_PROPOSAL_FAILED	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1127	SMSG_BATTLEFIELD_STATUS_NEED_CONFIRMATION	0x2922	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlefieldStatusNeedConfirmation	-
1128	SMSG_BATTLEFIELD_STATUS_NONE	0x2925	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlefieldStatusNone	-
1129	SMSG_BATTLEFIELD_STATUS_QUEUED	0x2924	STATUS_NEVER	CONNECTION_TYPE_REALM	BattlefieldStatusQueued	-
1130	SMSG_BATTLEFIELD_STATUS_WAIT_FOR_GROUPS	0x292F	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlefieldStatusWaitForGroups	-
1131	SMSG_BATTLEGROUND_INFO_THROTTLED	0x292E	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlegroundInfoThrottled	-
1132	SMSG_BATTLEGROUND_INIT	0x294F	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	BattlegroundInit	-
1133	SMSG_BATTLEGROUND_PLAYER_JOINED	0x292B	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	BattlegroundPlayerJoined	-
1134	SMSG_BATTLEGROUND_PLAYER_LEFT	0x292C	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	BattlegroundPlayerLeft	-
1135	SMSG_BATTLEGROUND_PLAYER_POSITIONS	0x2928	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	BattlegroundPlayerPositions	-
