cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_processing	cpp_handler	cpp_handler_file	cpp_handler_line	cpp_owner_doc	rust_const	rust_registered	rust_file	rust_handler	rust_status	rust_processing	notes
676	CMSG_MOVE_SET_WALK_MODE	0x39F3	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveSetWalkMode	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
677	CMSG_MOVE_SPLINE_DONE	0x3A18	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMoveSplineDoneOpcode	game/Handlers/MovementHandler.cpp	669	handlers.md	MoveSplineDone	yes	crates/wow-world/src/handlers/movement.rs	handle_move_spline_done	LoggedIn	ThreadSafe	-
678	CMSG_MOVE_START_ASCEND	0x3A29	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartAscend	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
679	CMSG_MOVE_START_BACKWARD	0x39E5	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartBackward	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
680	CMSG_MOVE_START_DESCEND	0x3A30	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartDescend	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
681	CMSG_MOVE_START_FORWARD	0x39E4	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartForward	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
682	CMSG_MOVE_START_PITCH_DOWN	0x39F0	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartPitchDown	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
683	CMSG_MOVE_START_PITCH_UP	0x39EF	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartPitchUp	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
684	CMSG_MOVE_START_STRAFE_LEFT	0x39E7	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartStrafeLeft	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
685	CMSG_MOVE_START_STRAFE_RIGHT	0x39E8	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveStartStrafeRight	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
