key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
AuctionHouseBot.BidPrice.Max	worldserver:server/worldserver/worldserver.conf.dist:3731	worldserver=0.9					missing_in_rust	-
AuctionHouseBot.BidPrice.Min	worldserver:server/worldserver/worldserver.conf.dist:3730	worldserver=0.6					missing_in_rust	-
AuctionHouseBot.Bind.Equip	worldserver:server/worldserver/worldserver.conf.dist:3688	worldserver=1					missing_in_rust	-
AuctionHouseBot.Bind.No	worldserver:server/worldserver/worldserver.conf.dist:3686	worldserver=1					missing_in_rust	-
AuctionHouseBot.Bind.Pickup	worldserver:server/worldserver/worldserver.conf.dist:3687	worldserver=0					missing_in_rust	-
AuctionHouseBot.Bind.Quest	worldserver:server/worldserver/worldserver.conf.dist:3690	worldserver=0					missing_in_rust	-
AuctionHouseBot.Bind.Use	worldserver:server/worldserver/worldserver.conf.dist:3689	worldserver=1					missing_in_rust	-
AuctionHouseBot.BuyPrice.Seller	worldserver:server/worldserver/worldserver.conf.dist:3722	worldserver=0					missing_in_rust	-
AuctionHouseBot.Buyer.Alliance.Enabled	worldserver:server/worldserver/worldserver.conf.dist:3997	worldserver=0					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.Blue	worldserver:server/worldserver/worldserver.conf.dist:4023	worldserver=36463					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.Gray	worldserver:server/worldserver/worldserver.conf.dist:4020	worldserver=3504					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.Green	worldserver:server/worldserver/worldserver.conf.dist:4022	worldserver=21752					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.Orange	worldserver:server/worldserver/worldserver.conf.dist:4025	worldserver=214347					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.Purple	worldserver:server/worldserver/worldserver.conf.dist:4024	worldserver=87124					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.White	worldserver:server/worldserver/worldserver.conf.dist:4021	worldserver=5429					missing_in_rust	-
AuctionHouseBot.Buyer.Baseprice.Yellow	worldserver:server/worldserver/worldserver.conf.dist:4026	worldserver=407406					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceFactor	worldserver:server/worldserver/worldserver.conf.dist:4006	worldserver=2					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.Blue	worldserver:server/worldserver/worldserver.conf.dist:4043	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.Gray	worldserver:server/worldserver/worldserver.conf.dist:4040	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.Green	worldserver:server/worldserver/worldserver.conf.dist:4042	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.Orange	worldserver:server/worldserver/worldserver.conf.dist:4045	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.Purple	worldserver:server/worldserver/worldserver.conf.dist:4044	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.White	worldserver:server/worldserver/worldserver.conf.dist:4041	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.ChanceMultiplier.Yellow	worldserver:server/worldserver/worldserver.conf.dist:4046	worldserver=100					missing_in_rust	-
AuctionHouseBot.Buyer.Enabled	worldserver:server/worldserver/worldserver.conf.dist:3989	worldserver=0					missing_in_rust	-
AuctionHouseBot.Buyer.Horde.Enabled	worldserver:server/worldserver/worldserver.conf.dist:3998	worldserver=0					missing_in_rust	-
AuctionHouseBot.Buyer.Neutral.Enabled	worldserver:server/worldserver/worldserver.conf.dist:3999	worldserver=0					missing_in_rust	-
AuctionHouseBot.Buyer.Recheck.Interval	worldserver:server/worldserver/worldserver.conf.dist:4054	worldserver=20					missing_in_rust	-
AuctionHouseBot.Class.Armor	worldserver:server/worldserver/worldserver.conf.dist:3852	worldserver=8					missing_in_rust	-
AuctionHouseBot.Class.Armor.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3640	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Armor.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3776	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Consumable	worldserver:server/worldserver/worldserver.conf.dist:3848	worldserver=6					missing_in_rust	-
AuctionHouseBot.Class.Consumable.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3636	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Consumable.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3772	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Container	worldserver:server/worldserver/worldserver.conf.dist:3849	worldserver=4					missing_in_rust	-
AuctionHouseBot.Class.Container.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3637	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Container.ItemLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3918	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Container.ItemLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3917	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Container.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3773	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Gem	worldserver:server/worldserver/worldserver.conf.dist:3851	worldserver=3					missing_in_rust	-
AuctionHouseBot.Class.Gem.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3639	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Gem.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3775	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Generic	worldserver:server/worldserver/worldserver.conf.dist:3856	worldserver=1					missing_in_rust	-
AuctionHouseBot.Class.Generic.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3780	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Glyph	worldserver:server/worldserver/worldserver.conf.dist:3862	worldserver=3					missing_in_rust	-
AuctionHouseBot.Class.Glyph.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3649	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Glyph.ItemLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3902	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Glyph.ItemLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3901	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Glyph.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3786	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Glyph.ReqLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3894	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Glyph.ReqLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3893	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Key	worldserver:server/worldserver/worldserver.conf.dist:3860	worldserver=1					missing_in_rust	-
AuctionHouseBot.Class.Key.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3647	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Key.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3784	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Misc	worldserver:server/worldserver/worldserver.conf.dist:3861	worldserver=5					missing_in_rust	-
AuctionHouseBot.Class.Misc.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3648	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Misc.Mount.ReqLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3878	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Misc.Mount.ReqLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3877	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Misc.Mount.ReqSkill.Max	worldserver:server/worldserver/worldserver.conf.dist:3886	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Misc.Mount.ReqSkill.Min	worldserver:server/worldserver/worldserver.conf.dist:3885	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Misc.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3785	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Projectile	worldserver:server/worldserver/worldserver.conf.dist:3854	worldserver=2					missing_in_rust	-
AuctionHouseBot.Class.Projectile.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3642	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Projectile.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3778	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Quest	worldserver:server/worldserver/worldserver.conf.dist:3859	worldserver=1					missing_in_rust	-
AuctionHouseBot.Class.Quest.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3646	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Quest.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3783	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Quiver	worldserver:server/worldserver/worldserver.conf.dist:3858	worldserver=1					missing_in_rust	-
AuctionHouseBot.Class.Quiver.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3645	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Quiver.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3782	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Armor	worldserver:server/worldserver/worldserver.conf.dist:3966	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Consumable	worldserver:server/worldserver/worldserver.conf.dist:3962	worldserver=20					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Container	worldserver:server/worldserver/worldserver.conf.dist:3963	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Gem	worldserver:server/worldserver/worldserver.conf.dist:3965	worldserver=20					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Generic	worldserver:server/worldserver/worldserver.conf.dist:3970	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Glyph	worldserver:server/worldserver/worldserver.conf.dist:3976	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Key	worldserver:server/worldserver/worldserver.conf.dist:3974	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Misc	worldserver:server/worldserver/worldserver.conf.dist:3975	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Projectile	worldserver:server/worldserver/worldserver.conf.dist:3968	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Quest	worldserver:server/worldserver/worldserver.conf.dist:3973	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Quiver	worldserver:server/worldserver/worldserver.conf.dist:3972	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Reagent	worldserver:server/worldserver/worldserver.conf.dist:3967	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Recipe	worldserver:server/worldserver/worldserver.conf.dist:3971	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.TradeGood	worldserver:server/worldserver/worldserver.conf.dist:3969	worldserver=50					missing_in_rust	-
AuctionHouseBot.Class.RandomStackRatio.Weapon	worldserver:server/worldserver/worldserver.conf.dist:3964	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Reagent	worldserver:server/worldserver/worldserver.conf.dist:3853	worldserver=1					missing_in_rust	-
AuctionHouseBot.Class.Reagent.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3641	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Reagent.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3777	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Recipe	worldserver:server/worldserver/worldserver.conf.dist:3857	worldserver=6					missing_in_rust	-
AuctionHouseBot.Class.Recipe.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3644	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Recipe.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3781	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.TradeGood	worldserver:server/worldserver/worldserver.conf.dist:3855	worldserver=10					missing_in_rust	-
AuctionHouseBot.Class.TradeGood.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3643	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.TradeGood.ItemLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3910	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.TradeGood.ItemLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3909	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.TradeGood.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3779	worldserver=100					missing_in_rust	-
AuctionHouseBot.Class.Weapon	worldserver:server/worldserver/worldserver.conf.dist:3850	worldserver=8					missing_in_rust	-
AuctionHouseBot.Class.Weapon.Allow.Zero	worldserver:server/worldserver/worldserver.conf.dist:3638	worldserver=0					missing_in_rust	-
AuctionHouseBot.Class.Weapon.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3774	worldserver=100					missing_in_rust	-
AuctionHouseBot.Horde.Items.Amount.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3607	worldserver=100					missing_in_rust	-
AuctionHouseBot.Horde.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3745	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.Amount.Blue	worldserver:server/worldserver/worldserver.conf.dist:3823	worldserver=1500					missing_in_rust	-
AuctionHouseBot.Items.Amount.Gray	worldserver:server/worldserver/worldserver.conf.dist:3820	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.Amount.Green	worldserver:server/worldserver/worldserver.conf.dist:3822	worldserver=2500					missing_in_rust	-
AuctionHouseBot.Items.Amount.Orange	worldserver:server/worldserver/worldserver.conf.dist:3825	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.Amount.Purple	worldserver:server/worldserver/worldserver.conf.dist:3824	worldserver=1000					missing_in_rust	-
AuctionHouseBot.Items.Amount.White	worldserver:server/worldserver/worldserver.conf.dist:3821	worldserver=2000					missing_in_rust	-
AuctionHouseBot.Items.Amount.Yellow	worldserver:server/worldserver/worldserver.conf.dist:3826	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.Blue.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3762	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.Gray.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3759	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.Green.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3761	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.ItemLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3794	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.ItemLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3793	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.Loot	worldserver:server/worldserver/worldserver.conf.dist:3665	worldserver=1					missing_in_rust	-
AuctionHouseBot.Items.Misc	worldserver:server/worldserver/worldserver.conf.dist:3673	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.Orange.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3764	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.Purple.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3763	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.ReqLevel.Max	worldserver:server/worldserver/worldserver.conf.dist:3802	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.ReqLevel.Min	worldserver:server/worldserver/worldserver.conf.dist:3801	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.ReqSkill.Max	worldserver:server/worldserver/worldserver.conf.dist:3811	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.ReqSkill.Min	worldserver:server/worldserver/worldserver.conf.dist:3810	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.Vendor	worldserver:server/worldserver/worldserver.conf.dist:3657	worldserver=0					missing_in_rust	-
AuctionHouseBot.Items.White.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3760	worldserver=100					missing_in_rust	-
AuctionHouseBot.Items.Yellow.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3765	worldserver=100					missing_in_rust	-
AuctionHouseBot.ItemsPerCycle.Boost	worldserver:server/worldserver/worldserver.conf.dist:3706	worldserver=1000					missing_in_rust	-
AuctionHouseBot.ItemsPerCycle.Normal	worldserver:server/worldserver/worldserver.conf.dist:3714	worldserver=20					missing_in_rust	-
AuctionHouseBot.LockBox.Enabled	worldserver:server/worldserver/worldserver.conf.dist:3698	worldserver=0					missing_in_rust	-
AuctionHouseBot.MaxTime	worldserver:server/worldserver/worldserver.conf.dist:3628	worldserver=72					missing_in_rust	-
AuctionHouseBot.MinTime	worldserver:server/worldserver/worldserver.conf.dist:3621	worldserver=1					missing_in_rust	-
AuctionHouseBot.Neutral.Items.Amount.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3614	worldserver=100					missing_in_rust	-
AuctionHouseBot.Neutral.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3752	worldserver=100					missing_in_rust	-
AuctionHouseBot.Seller.Enabled	worldserver:server/worldserver/worldserver.conf.dist:3593	worldserver=0					missing_in_rust	-
AuctionHouseBot.Update.Interval	worldserver:server/worldserver/worldserver.conf.dist:3585	worldserver=20	Int:server/game/World/World.cpp:1681	Int=20	CONFIG_AHBOT_UPDATE_INTERVAL		missing_in_rust	-
AuctionHouseBot.forceExcludeItems	worldserver:server/worldserver/worldserver.conf.dist:3936	worldserver=""	String:server/game/AuctionHouseBot/AuctionHouseBot.cpp:152	String=""	SetAHBotExcludes(		missing_in_rust	-
AuctionHouseBot.forceIncludeItems	worldserver:server/worldserver/worldserver.conf.dist:3926	worldserver=""	String:server/game/AuctionHouseBot/AuctionHouseBot.cpp:151	String=""	SetAHBotIncludes(		missing_in_rust	-
AutoBroadcast.Center	worldserver:server/worldserver/worldserver.conf.dist:2792	worldserver=0	Int:server/game/World/World.cpp:1626	Int=0	CONFIG_AUTOBROADCAST_CENTER		missing_in_rust	-
AutoBroadcast.On	worldserver:server/worldserver/worldserver.conf.dist:2783	worldserver=0	Bool:server/game/World/World.cpp:1625	Bool=false	CONFIG_AUTOBROADCAST		missing_in_rust	-
AutoBroadcast.Timer	worldserver:server/worldserver/worldserver.conf.dist:2799	worldserver=600000	Int:server/game/World/World.cpp:1627	Int=60000	CONFIG_AUTOBROADCAST_INTERVAL		missing_in_rust	-
BanExpiryCheckInterval	bnetserver:server/bnetserver/bnetserver.conf.dist:187	bnetserver=60	Int:server/bnetserver/Main.cpp:264	Int=60	int32 banExpiryCheckInterval	get_value:crates/bnet-server/src/main.rs:84	rust_exact_key	-
BaseMapLoadAllGrids	worldserver:server/worldserver/worldserver.conf.dist:321	worldserver=0	Bool:server/game/World/World.cpp:798	Bool=false	CONFIG_BASEMAP_LOAD_GRIDS		missing_in_rust	-
Battleground.CastDeserter	worldserver:server/worldserver/worldserver.conf.dist:2812	worldserver=1	Bool:server/game/World/World.cpp:1327	Bool=true	CONFIG_BATTLEGROUND_CAST_DESERTER		missing_in_rust	-
Battleground.GiveXPForKills	worldserver:server/worldserver/worldserver.conf.dist:2874	worldserver=0	Bool:server/game/World/World.cpp:1345	Bool=false	CONFIG_BG_XP_FOR_KILL		missing_in_rust	-
Battleground.InvitationType	worldserver:server/worldserver/worldserver.conf.dist:2847	worldserver=0	Int:server/game/World/World.cpp:1342	Int=0	CONFIG_BATTLEGROUND_INVITATION_TYPE		missing_in_rust	-
Battleground.PremadeGroupWaitForMatch	worldserver:server/worldserver/worldserver.conf.dist:2865	worldserver=1800000	Int:server/game/World/World.cpp:1344	Int=30 * MINUTE * IN_MILLISECONDS	CONFIG_BATTLEGROUND_PREMADE_GROUP_WAIT_FOR_MATCH		missing_in_rust	-
Battleground.PrematureFinishTimer	worldserver:server/worldserver/worldserver.conf.dist:2856	worldserver=300000	Int:server/game/World/World.cpp:1343	Int=5 * MINUTE * IN_MILLISECONDS	CONFIG_BATTLEGROUND_PREMATURE_FINISH_TIMER		missing_in_rust	-
Battleground.QueueAnnouncer.Enable	worldserver:server/worldserver/worldserver.conf.dist:2820	worldserver=0	Bool:server/game/World/World.cpp:1328	Bool=false	CONFIG_BATTLEGROUND_QUEUE_ANNOUNCER_ENABLE		missing_in_rust	-
Battleground.QueueAnnouncer.PlayerOnly	worldserver:server/worldserver/worldserver.conf.dist:2828	worldserver=0	Bool:server/game/World/World.cpp:1329	Bool=false	CONFIG_BATTLEGROUND_QUEUE_ANNOUNCER_PLAYERONLY		missing_in_rust	-
Battleground.Random.ResetHour	worldserver:server/worldserver/worldserver.conf.dist:2882	worldserver=6	Int:server/game/World/World.cpp:1269	Int=6	CONFIG_RANDOM_BG_RESET_HOUR		missing_in_rust	-
Battleground.ReportAFK	worldserver:server/worldserver/worldserver.conf.dist:2913	worldserver=3	Int:server/game/World/World.cpp:1331	Int=3	CONFIG_BATTLEGROUND_REPORT_AFK		missing_in_rust	-
Battleground.RewardLoserHonorFirst	worldserver:server/worldserver/worldserver.conf.dist:2904	worldserver=4500	Int:server/game/World/World.cpp:1615	Int=4500	CONFIG_BG_REWARD_LOSER_HONOR_FIRST		missing_in_rust	-
Battleground.RewardLoserHonorLast	worldserver:server/worldserver/worldserver.conf.dist:2905	worldserver=3500	Int:server/game/World/World.cpp:1616	Int=3500	CONFIG_BG_REWARD_LOSER_HONOR_LAST		missing_in_rust	-
Battleground.RewardWinnerConquestFirst	worldserver:server/worldserver/worldserver.conf.dist:2901	worldserver=10000	Int:server/game/World/World.cpp:1612	Int=10000	CONFIG_BG_REWARD_WINNER_CONQUEST_FIRST		missing_in_rust	-
Battleground.RewardWinnerConquestLast	worldserver:server/worldserver/worldserver.conf.dist:2903	worldserver=5000	Int:server/game/World/World.cpp:1614	Int=5000	CONFIG_BG_REWARD_WINNER_CONQUEST_LAST		missing_in_rust	-
Battleground.RewardWinnerHonorFirst	worldserver:server/worldserver/worldserver.conf.dist:2900	worldserver=27000	Int:server/game/World/World.cpp:1611	Int=27000	CONFIG_BG_REWARD_WINNER_HONOR_FIRST		missing_in_rust	-
Battleground.RewardWinnerHonorLast	worldserver:server/worldserver/worldserver.conf.dist:2902	worldserver=13500	Int:server/game/World/World.cpp:1613	Int=13500	CONFIG_BG_REWARD_WINNER_HONOR_LAST		missing_in_rust	-
Battleground.StoreStatistics.Enable	worldserver:server/worldserver/worldserver.conf.dist:2836	worldserver=0	Bool:server/game/World/World.cpp:1330	Bool=false	CONFIG_BATTLEGROUND_STORE_STATISTICS_ENABLE		missing_in_rust	-
BattlegroundMapLoadAllGrids	worldserver:server/worldserver/worldserver.conf.dist:339	worldserver=1	Bool:server/game/World/World.cpp:810	Bool=true	CONFIG_BATTLEGROUNDMAP_LOAD_GRIDS		missing_in_rust	-
BattlenetPort	bnetserver:server/bnetserver/bnetserver.conf.dist:56	bnetserver=1119	Int:server/bnetserver/Main.cpp:220|Int:server/bnetserver/REST/LoginRESTService.cpp:243	Int=1119|Int=1119	int32 bnport	get_value:crates/bnet-server/src/main.rs:76	rust_exact_key	-
BeepAtStart	worldserver:server/worldserver/worldserver.conf.dist:1314	worldserver=1	Bool:server/worldserver/CommandLine/CliRunnable.cpp:123	Bool=true			missing_in_rust	-
BindIP	worldserver:server/worldserver/worldserver.conf.dist:180|bnetserver:server/bnetserver/bnetserver.conf.dist:88	worldserver="0.0.0.0"|bnetserver="0.0.0.0"	String:server/worldserver/Main.cpp:370|String:server/bnetserver/Main.cpp:203|String:server/bnetserver/Main.cpp:232	String="0.0.0.0"|String="0.0.0.0"|String="0.0.0.0"	std::string worldListener|std::string httpBindIp|std::string bindIp	get_string_default:crates/bnet-server/src/main.rs:74|get_string_default:crates/world-server/src/main.rs:457	rust_exact_key	-
BirthdayTime	worldserver:server/worldserver/worldserver.conf.dist:1388	worldserver=1222964635					missing_in_rust	-
BlackMarket.Enabled	worldserver:server/worldserver/worldserver.conf.dist:4068	worldserver=1	Bool:server/game/World/World.cpp:1687	Bool=true	CONFIG_BLACKMARKET_ENABLED		missing_in_rust	-
BlackMarket.MaxAuctions	worldserver:server/worldserver/worldserver.conf.dist:4076	worldserver=12	Int:server/game/World/World.cpp:1689	Int=12	CONFIG_BLACKMARKET_MAXAUCTIONS		missing_in_rust	-
BlackMarket.UpdatePeriod	worldserver:server/worldserver/worldserver.conf.dist:4084	worldserver=24	Int:server/game/World/World.cpp:1690	Int=24	CONFIG_BLACKMARKET_UPDATE_PERIOD		missing_in_rust	-
Bot.AccountPrefix	worldserver:server/worldserver/worldserver.conf.dist:4441	worldserver=""	String:server/game/Handlers/CharacterHandler.cpp:1027	String=""	const botPrefix		missing_in_rust	-
BuildDirectory	worldserver:server/worldserver/worldserver.conf.dist:212	worldserver=""					missing_in_rust	-
CMakeCommand	worldserver:server/worldserver/worldserver.conf.dist:203	worldserver=""					missing_in_rust	-
CacheDataQueries	worldserver:server/worldserver/worldserver.conf.dist:1399	worldserver=1	Bool:server/game/World/World.cpp:1707	Bool=true	CONFIG_CACHE_DATA_QUERIES		missing_in_rust	-
Calculate.Creature.Zone.Area.Data	worldserver:server/worldserver/worldserver.conf.dist:3509	worldserver=0	Bool:server/game/World/World.cpp:1683	Bool=false	CONFIG_CALCULATE_CREATURE_ZONE_AREA_DATA		missing_in_rust	-
Calculate.Gameoject.Zone.Area.Data	worldserver:server/worldserver/worldserver.conf.dist:3516	worldserver=0	Bool:server/game/World/World.cpp:1684	Bool=false	CONFIG_CALCULATE_GAMEOBJECT_ZONE_AREA_DATA		missing_in_rust	-
Calendar.DeleteOldEventsHour	worldserver:server/worldserver/worldserver.conf.dist:1146	worldserver=6	Int:server/game/World/World.cpp:1276	Int=6	CONFIG_CALENDAR_DELETE_OLD_EVENTS_HOUR		missing_in_rust	-
CastUnstuck	worldserver:server/worldserver/worldserver.conf.dist:1018	worldserver=1	Bool:server/game/World/World.cpp:1116	Bool=true	CONFIG_CAST_UNSTUCK		missing_in_rust	-
CertificatesFile	bnetserver:server/bnetserver/bnetserver.conf.dist:104	bnetserver="./bnetserver.cert.pem"	String:server/bnetserver/Server/SslContext.cpp:42	String="./bnetserver.cert.pem"	std::string certificateChainFile	get_string_default:crates/bnet-server/src/main.rs:68	rust_exact_key	-
ChangeWeatherInterval	worldserver:server/worldserver/worldserver.conf.dist:392	worldserver=600000	Int:server/game/World/World.cpp:840	Int=10 * MINUTE * IN_MILLISECONDS	CONFIG_INTERVAL_CHANGEWEATHER		missing_in_rust	-
Channel.RestrictedLfg	worldserver:server/worldserver/worldserver.conf.dist:2150	worldserver=1	Bool:server/game/World/World.cpp:1292	Bool=true	CONFIG_RESTRICTED_LFG_CHANNEL		missing_in_rust	-
CharDelete.DeathKnight.MinLevel	worldserver:server/worldserver/worldserver.conf.dist:3287	worldserver=0	Int:server/game/World/World.cpp:1452	Int=0	CONFIG_CHARDELETE_DEATH_KNIGHT_MIN_LEVEL		missing_in_rust	-
CharDelete.DemonHunter.MinLevel	worldserver:server/worldserver/worldserver.conf.dist:3295	worldserver=0	Int:server/game/World/World.cpp:1453	Int=0	CONFIG_CHARDELETE_DEMON_HUNTER_MIN_LEVEL		missing_in_rust	-
