key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Pvp.FactionBalance.LevelCheckDiff	worldserver:server/worldserver/worldserver.conf.dist:4400	worldserver=0	Int:server/game/World/World.cpp:1717	Int=0	CONFIG_FACTION_BALANCE_LEVEL_CHECK_DIFF		missing_in_rust	-
Pvp.FactionBalance.Pct10	worldserver:server/worldserver/worldserver.conf.dist:4415	worldserver=0.7	Float:server/game/World/World.cpp:1719	Float=0.7f	CONFIG_CALL_TO_ARMS_10_PCT		missing_in_rust	-
Pvp.FactionBalance.Pct20	worldserver:server/worldserver/worldserver.conf.dist:4423	worldserver=0.8	Float:server/game/World/World.cpp:1720	Float=0.8f	CONFIG_CALL_TO_ARMS_20_PCT		missing_in_rust	-
Pvp.FactionBalance.Pct5	worldserver:server/worldserver/worldserver.conf.dist:4407	worldserver=0.6	Float:server/game/World/World.cpp:1718	Float=0.6f	CONFIG_CALL_TO_ARMS_5_PCT		missing_in_rust	-
Quests.DailyResetTime	worldserver:server/worldserver/worldserver.conf.dist:1129	worldserver=3	Int:server/game/World/World.cpp:1121	Int=3	CONFIG_DAILY_QUEST_RESET_TIME_HOUR		missing_in_rust	-
Quests.EnableQuestTracker	worldserver:server/worldserver/worldserver.conf.dist:1076	worldserver=0	Bool:server/game/World/World.cpp:1256	Bool=false	CONFIG_QUEST_ENABLE_QUEST_TRACKER		missing_in_rust	-
Quests.HighLevelHideDiff	worldserver:server/worldserver/worldserver.conf.dist:1096	worldserver=2	Int:server/game/World/World.cpp:1262	Int=7	CONFIG_QUEST_HIGH_LEVEL_HIDE_DIFF		missing_in_rust	-
Quests.IgnoreAutoAccept	worldserver:server/worldserver/worldserver.conf.dist:1112	worldserver=0	Bool:server/game/World/World.cpp:1266	Bool=false	CONFIG_QUEST_IGNORE_AUTO_ACCEPT		missing_in_rust	-
Quests.IgnoreAutoComplete	worldserver:server/worldserver/worldserver.conf.dist:1120	worldserver=0	Bool:server/game/World/World.cpp:1267	Bool=false	CONFIG_QUEST_IGNORE_AUTO_COMPLETE		missing_in_rust	-
Quests.IgnoreRaid	worldserver:server/worldserver/worldserver.conf.dist:1104	worldserver=0	Bool:server/game/World/World.cpp:1265	Bool=false	CONFIG_QUEST_IGNORE_RAID		missing_in_rust	-
Quests.LowLevelHideDiff	worldserver:server/worldserver/worldserver.conf.dist:1086	worldserver=5	Int:server/game/World/World.cpp:1259	Int=4	CONFIG_QUEST_LOW_LEVEL_HIDE_DIFF		missing_in_rust	-
Quests.WeeklyResetWDay	worldserver:server/worldserver/worldserver.conf.dist:1138	worldserver=3	Int:server/game/World/World.cpp:1128	Int=3	CONFIG_WEEKLY_QUEST_RESET_TIME_WDAY		missing_in_rust	-
Ra.Enable	worldserver:server/worldserver/worldserver.conf.dist:3214	worldserver=0	Bool:server/worldserver/Main.cpp:352	Bool=false			missing_in_rust	-
Ra.IP	worldserver:server/worldserver/worldserver.conf.dist:3221	worldserver="0.0.0.0"	String:server/worldserver/Main.cpp:613	String="0.0.0.0"	std::string raListener		missing_in_rust	-
Ra.MinLevel	worldserver:server/worldserver/worldserver.conf.dist:3235	worldserver=3	Int:server/worldserver/RemoteAccess/RASession.cpp:138	Int=SEC_ADMINISTRATOR			missing_in_rust	-
Ra.Port	worldserver:server/worldserver/worldserver.conf.dist:3228	worldserver=3443	Int:server/worldserver/Main.cpp:612	Int=3443			missing_in_rust	-
Rate.ArcaneCharges.Loss	worldserver:server/worldserver/worldserver.conf.dist:2446	worldserver=1					missing_in_rust	-
Rate.Auction.Cut	worldserver:server/worldserver/worldserver.conf.dist:2565	worldserver=1	Float:server/game/World/World.cpp:692	Float=1.0f	RATE_AUCTION_CUT		missing_in_rust	-
Rate.Auction.Deposit	worldserver:server/worldserver/worldserver.conf.dist:2564	worldserver=1	Float:server/game/World/World.cpp:691	Float=1.0f	RATE_AUCTION_DEPOSIT		missing_in_rust	-
Rate.Auction.Time	worldserver:server/worldserver/worldserver.conf.dist:2563	worldserver=1	Float:server/game/World/World.cpp:690	Float=1.0f	RATE_AUCTION_TIME		missing_in_rust	-
Rate.Chi.Loss	worldserver:server/worldserver/worldserver.conf.dist:2444	worldserver=1					missing_in_rust	-
Rate.ComboPoints.Loss	worldserver:server/worldserver/worldserver.conf.dist:2437	worldserver=1					missing_in_rust	-
Rate.Corpse.Decay.Looted	worldserver:server/worldserver/worldserver.conf.dist:1820	worldserver=0.5	Float:server/game/World/World.cpp:708	Float=0.5f	RATE_CORPSE_DECAY_LOOTED		missing_in_rust	-
